attrInteger,attrInteger,attrInteger,attrInteger
1147898,674,114789800,1147899
642052,638,64205200,642053
1245604,995,124560400,1245605
365558,545,36555800,365548
1575940,531,157594000,1575941
493090,574,49309000,493091
1522383,211,152238300,1522384
443118,182,44311800,443119
420782,684,42078200,420783
649838,418,64983800,649839
881589,283,88158900,881590
1062901,601,106290100,1062902
758463,981,75846300,758464
170630,148,17063000,170631
1894015,679,189401500,1894016
1674064,186,167406400,1674065
1940862,32,194086200,1940863
314404,638,31440400,314405
799921,738,79992100,799922
1541637,847,154163700,1541638
625715,46,62571500,625716
884690,863,88469000,884691
1819796,249,181979600,1819797
709325,742,70932500,709326
168373,950,16837300,168374
473489,637,47348900,473490
830365,627,83036500,830366
1541366,387,154136600,1541367
1350469,433,135046900,1350470
989884,54,98988400,989885
1767014,928,176701400,1767015
1809934,357,180993400,1809935
695144,983,69514400,695145
566935,102,56693500,566936
950025,266,95002500,950026
1861946,498,186194600,1861947
1676900,985,167690000,1676901
439735,257,43973500,439736
1411388,847,141138800,1411389
402003,715,40200300,402004
831687,692,83168700,831688
314036,983,31403600,314037
208140,245,20814000,208141
1832922,396,183292200,1832923
277299,143,27729900,277300
854902,508,85490200,854903
838470,118,83847000,838471
1956374,965,195637400,1956375
1884459,546,188445900,1884460
1755927,937,175592700,1755928
1345358,497,134535800,1345359
584752,62,58475200,584753
991800,932,99180000,991801
860530,570,86053000,860531
1231599,908,123159900,1231600
1445695,383,144569500,1445696
737621,877,73762100,737622
1702190,187,170219000,1702191
1092043,187,109204300,1092044
291492,601,29149200,291493
1420249,912,142024900,1420250
459719,262,45971900,459720
196421,308,19642100,196422
522106,54,52210600,522107
199959,808,19995900,199960
1415565,452,141556500,1415566
1389123,359,138912300,1389124
228602,369,22860200,228603
1437496,331,143749600,1437497
1246243,395,124624300,1246244
1679458,156,167945800,1679459
351021,240,35102100,351022
1834545,788,183454500,1834546
900205,861,90020500,900206
506961,244,50696100,506962
889896,435,88989600,889897
1589715,51,158971500,1589716
1316230,257,131623000,1316231
853007,53,85300700,853008
1309110,513,130911000,1309111
1256752,893,125675200,1256753
339272,497,33927200,339273
1360360,488,136036000,1360361
1756366,846,175636600,1756367
1300839,128,130083900,1300840
652994,315,65299400,652995
936675,126,93667500,936676
1416397,4,141639700,1416398
611729,455,61172900,611730
1767754,257,176775400,1767755
1883841,883,188384100,1883842
707434,864,70743400,707435
1778176,237,177817600,1778177
25138,507,2513800,25139
908985,411,90898500,908986
444543,266,44454300,444544
947502,341,94750200,947503
1303945,341,130394500,1303946
1260155,111,126015500,1260156
1291513,80,129151300,1291514
1056377,191,105637700,1056378
1489895,769,148989500,1489896
1807144,694,180714400,1807145
1616340,332,161634000,1616341
883623,51,88362300,883624
85537,42,8553700,85538
1444902,625,144490200,1444903
913106,710,91310600,913107
1943915,187,194391500,1943916
92259,597,9225900,92260
1179958,515,117995800,1179959
1933427,575,193342700,1933428
554140,473,55414000,554141
1532107,398,153210700,1532108
361601,229,36160100,361602
1946226,740,194622600,1946227
1080201,276,108020100,1080202
1809863,303,180986300,1809864
943219,969,94321900,943220
1000919,486,100091900,1000920
919391,264,91939100,919392
37753,302,3775300,37754
589486,234,58948600,589476
1607756,593,160775600,1607757
416178,57,41617800,416179
161751,458,16175100,161752
931729,973,93172900,931730
31279,664,3127900,31280
1532526,635,153252600,1532527
1976926,739,197692600,1976927
1819203,72,181920300,1819204
427224,926,42722400,427225
387422,127,38742200,387423
1165389,691,116538900,1165390
443470,431,44347000,443471
1483963,18,148396300,1483964
1862703,113,186270300,1862704
1367836,73,136783600,1367837
1212484,227,121248400,1212485
1307797,338,130779700,1307798
489173,664,48917300,489174
1794717,844,179471700,1794718
306852,715,30685200,306853
628601,655,62860100,628602
1589779,794,158977900,1589780
753830,623,75383000,753831
